MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,OverallQual_square,MasVnrArea_square,TotalBsmtSF_square,1stFlrSF_square,GrLivArea_square,FullBath_square,TotRmsAbvGrd_square,Fireplaces_square,GarageCars_square,GarageArea_square,BsmtFinSF1_square,OverallQual_cube,MasVnrArea_cube,TotalBsmtSF_cube,1stFlrSF_cube,GrLivArea_cube,FullBath_cube,TotRmsAbvGrd_cube,Fireplaces_cube,GarageCars_cube,GarageArea_cube,BsmtFinSF1_cube,OverallQual_sqrt,MasVnrArea_sqrt,TotalBsmtSF_sqrt,1stFlrSF_sqrt,GrLivArea_sqrt,FullBath_sqrt,TotRmsAbvGrd_sqrt,Fireplaces_sqrt,GarageCars_sqrt,GarageArea_sqrt,BsmtFinSF1_sqrt
20,RL,70.0,11200,Pave,NA,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906.0,Unf,0.0,134.0,1040.0,GasA,Ex,Y,SBrkr,1040,0,0,1040,1.0,0.0,1,0,3,1,TA,5,Typ,0,NA,Detchd,1965.0,Unf,1.0,384.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,2,2008,WD,Normal,25,0.0,1081600.0,1081600,1081600,1,25,0,1.0,147456.0,820836.0,125,0.0,1124864000.0,1124864000,1124864000,1,125,0,1.0,56623104.0,743677416.0,2.23606797749979,0.0,32.2490309931942,32.2490309931942,32.2490309931942,1.0,2.23606797749979,0.0,1.0,19.595917942265423,30.099833886584822
60,RL,85.0,11924,Pave,NA,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998.0,Unf,0.0,177.0,1175.0,GasA,Ex,Y,SBrkr,1182,1142,0,2324,1.0,0.0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3.0,736.0,TA,TA,Y,147,21,0,0,0,0,NA,NA,NA,0,7,2006,New,Partial,81,81796.0,1380625.0,1397124,5400976,9,121,4,9.0,541696.0,996004.0,729,23393656.0,1622234375.0,1651400568,12551868224,27,1331,8,27.0,398688256.0,994011992.0,3.0,16.911534525287763,34.27827300200522,34.38022687534217,48.2078831727758,1.7320508075688772,3.3166247903554,1.4142135623730951,1.7320508075688772,27.129319932501073,31.591137997862628
20,RL,60.0,12968,Pave,NA,IR2,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737.0,Unf,0.0,175.0,912.0,GasA,TA,Y,SBrkr,912,0,0,912,1.0,0.0,1,0,2,1,TA,4,Typ,0,NA,Detchd,1962.0,Unf,1.0,352.0,TA,TA,Y,140,0,0,0,176,0,NA,NA,NA,0,9,2008,WD,Normal,25,0.0,831744.0,831744,831744,1,16,0,1.0,123904.0,543169.0,125,0.0,758550528.0,758550528,758550528,1,64,0,1.0,43614208.0,400315553.0,2.23606797749979,0.0,30.199337741083,30.199337741083,30.199337741083,1.0,2.0,0.0,1.0,18.76166303929372,27.147743920996454
20,RL,91.0,10652,Pave,NA,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,1494.0,1494.0,GasA,Ex,Y,SBrkr,1494,0,0,1494,0.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3.0,840.0,TA,TA,Y,160,33,0,0,0,0,NA,NA,NA,0,8,2007,New,Partial,49,93636.0,2232036.0,2232036,2232036,4,49,1,9.0,705600.0,0.0,343,28652616.0,3334661784.0,3334661784,3334661784,8,343,1,27.0,592704000.0,0.0,2.6457513110645907,17.4928556845359,38.65229618017538,38.65229618017538,38.65229618017538,1.4142135623730951,2.6457513110645907,1.0,1.7320508075688772,28.982753492378876,0.0
20,RL,60.0,10920,Pave,NA,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733.0,Unf,0.0,520.0,1253.0,GasA,TA,Y,SBrkr,1253,0,0,1253,1.0,0.0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1.0,352.0,TA,TA,Y,0,213,176,0,0,0,NA,GdWo,NA,0,5,2008,WD,Normal,36,44944.0,1570009.0,1570009,1570009,1,25,1,1.0,123904.0,537289.0,216,9528128.0,1967221277.0,1967221277,1967221277,1,125,1,1.0,43614208.0,393832837.0,2.449489742783178,14.560219778561036,35.397740040855716,35.397740040855716,35.397740040855716,1.0,2.23606797749979,1.0,1.0,18.76166303929372,27.073972741361768
45,RM,51.0,6120,Pave,NA,Reg,Lvl,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,832.0,832.0,GasA,Ex,Y,FuseA,854,0,0,854,0.0,0.0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1991.0,Unf,2.0,576.0,TA,TA,Y,48,112,0,0,0,0,NA,GdPrv,NA,0,7,2007,WD,Normal,49,0.0,692224.0,729316,729316,1,25,0,4.0,331776.0,0.0,343,0.0,575930368.0,622835864,622835864,1,125,0,8.0,191102976.0,0.0,2.6457513110645907,0.0,28.844410203711913,29.223278392404914,29.223278392404914,1.0,2.23606797749979,0.0,1.4142135623730951,24.0,0.0
20,RL,60.0,11241,Pave,NA,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578.0,Unf,0.0,426.0,1004.0,GasA,Ex,Y,SBrkr,1004,0,0,1004,1.0,0.0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2.0,480.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,Shed,700,3,2010,WD,Normal,36,32400.0,1008016.0,1008016,1008016,1,25,1,4.0,230400.0,334084.0,216,5832000.0,1012048064.0,1012048064,1012048064,1,125,1,8.0,110592000.0,193100552.0,2.449489742783178,13.416407864998739,31.68595903550972,31.68595903550972,31.68595903550972,1.0,2.23606797749979,1.0,1.4142135623730951,21.908902300206645,24.041630560342615
90,RL,72.0,10791,Pave,NA,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,NA,NA,NA,NA,0.0,NA,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1296,0,0,1296,0.0,0.0,2,0,2,2,TA,6,Typ,0,NA,CarPort,1967.0,Unf,2.0,516.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,Shed,500,10,2006,WD,Normal,16,0.0,0.0,1679616,1679616,4,36,0,4.0,266256.0,0.0,64,0.0,0.0,2176782336,2176782336,8,216,0,8.0,137388096.0,0.0,2.0,0.0,0.0,36.0,36.0,1.4142135623730951,2.449489742783178,0.0,1.4142135623730951,22.715633383201094,0.0
20,RL,66.0,13695,Pave,NA,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646.0,Unf,0.0,468.0,1114.0,GasA,Ex,Y,SBrkr,1114,0,0,1114,1.0,0.0,1,1,3,1,Gd,6,Typ,0,NA,Detchd,2004.0,Unf,2.0,576.0,TA,TA,Y,0,102,0,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,25,0.0,1240996.0,1240996,1240996,1,36,0,4.0,331776.0,417316.0,125,0.0,1382469544.0,1382469544,1382469544,1,216,0,8.0,191102976.0,269586136.0,2.23606797749979,0.0,33.37663853655727,33.37663853655727,33.37663853655727,1.0,2.449489742783178,0.0,1.4142135623730951,24.0,25.41653005427767
20,RL,70.0,7560,Pave,NA,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504.0,Unf,0.0,525.0,1029.0,GasA,TA,Y,SBrkr,1339,0,0,1339,0.0,0.0,1,0,3,1,TA,6,Min1,0,NA,Attchd,1958.0,Unf,1.0,294.0,TA,TA,Y,0,0,0,0,0,0,NA,MnPrv,NA,0,5,2009,COD,Abnorml,25,0.0,1058841.0,1792921,1792921,1,36,0,1.0,86436.0,254016.0,125,0.0,1089547389.0,2400721219,2400721219,1,216,0,1.0,25412184.0,128024064.0,2.23606797749979,0.0,32.07802986469088,36.59234892706397,36.59234892706397,1.0,2.449489742783178,0.0,1.0,17.146428199482248,22.44994432064365
60,RL,101.0,14215,Pave,NA,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1158.0,1158.0,GasA,Ex,Y,SBrkr,1158,1218,0,2376,0.0,0.0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3.0,853.0,TA,TA,Y,240,154,0,0,0,0,NA,NA,NA,0,11,2006,New,Partial,64,144400.0,1340964.0,1340964,5645376,9,81,1,9.0,727609.0,0.0,512,54872000.0,1552836312.0,1552836312,13413413376,27,729,1,27.0,620650477.0,0.0,2.8284271247461903,19.493588689617926,34.02939905434711,34.02939905434711,48.744230427815765,1.7320508075688772,3.0,1.0,1.7320508075688772,29.206163733020468,0.0
45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,637.0,637.0,GasA,Ex,Y,FuseF,1108,0,0,1108,0.0,0.0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1.0,280.0,TA,TA,N,0,0,205,0,0,0,NA,GdPrv,NA,0,6,2007,WD,Normal,49,0.0,405769.0,1227664,1227664,1,36,1,1.0,78400.0,0.0,343,0.0,258474853.0,1360251712,1360251712,1,216,1,1.0,21952000.0,0.0,2.6457513110645907,0.0,25.238858928247925,33.28663395418648,33.28663395418648,1.0,2.449489742783178,1.0,1.0,16.73320053068151,0.0
20,RL,75.0,9742,Pave,NA,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1777.0,1777.0,GasA,Ex,Y,SBrkr,1795,0,0,1795,0.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2.0,534.0,TA,TA,Y,171,159,0,0,0,0,NA,NA,NA,0,9,2008,WD,Normal,64,78961.0,3157729.0,3222025,3222025,4,49,1,4.0,285156.0,0.0,512,22188041.0,5611284433.0,5783534875,5783534875,8,343,1,8.0,152273304.0,0.0,2.8284271247461903,16.76305461424021,42.15447781671598,42.36744032862972,42.36744032862972,1.4142135623730951,2.6457513110645907,1.0,1.4142135623730951,23.108440016582687,0.0
120,RM,44.0,4224,Pave,NA,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840.0,Unf,0.0,200.0,1040.0,GasA,TA,Y,SBrkr,1060,0,0,1060,1.0,0.0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2.0,572.0,TA,TA,Y,100,110,0,0,0,0,NA,NA,NA,0,6,2007,WD,Normal,25,0.0,1081600.0,1123600,1123600,1,36,1,4.0,327184.0,705600.0,125,0.0,1124864000.0,1191016000,1191016000,1,216,1,8.0,187149248.0,592704000.0,2.23606797749979,0.0,32.2490309931942,32.55764119219941,32.55764119219941,1.0,2.449489742783178,1.0,1.4142135623730951,23.916521486202797,28.982753492378876
20,RL,60.0,8246,Pave,NA,IR1,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188.0,ALQ,668.0,204.0,1060.0,GasA,Ex,Y,SBrkr,1060,0,0,1060,1.0,0.0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1.0,270.0,TA,TA,Y,406,90,0,0,0,0,NA,MnPrv,NA,0,5,2010,WD,Normal,25,0.0,1123600.0,1123600,1123600,1,36,1,1.0,72900.0,35344.0,125,0.0,1191016000.0,1191016000,1191016000,1,216,1,1.0,19683000.0,6644672.0,2.23606797749979,0.0,32.55764119219941,32.55764119219941,32.55764119219941,1.0,2.449489742783178,1.0,1.0,16.431676725154983,13.711309200802088
20,RL,110.0,14230,Pave,NA,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1566.0,1566.0,GasA,Ex,Y,SBrkr,1600,0,0,1600,0.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3.0,890.0,TA,TA,Y,0,56,0,0,0,0,NA,NA,NA,0,7,2009,WD,Normal,64,409600.0,2452356.0,2560000,2560000,4,49,1,9.0,792100.0,0.0,512,262144000.0,3840389496.0,4096000000,4096000000,8,343,1,27.0,704969000.0,0.0,2.8284271247461903,25.298221281347036,39.57271787481876,40.0,40.0,1.4142135623730951,2.6457513110645907,1.0,1.7320508075688772,29.832867780352597,0.0
20,RL,60.0,7200,Pave,NA,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234.0,Rec,486.0,180.0,900.0,GasA,TA,Y,SBrkr,900,0,0,900,0.0,1.0,1,0,3,1,Gd,5,Typ,0,NA,Detchd,2005.0,Unf,2.0,576.0,TA,TA,Y,222,32,0,0,0,0,NA,NA,NA,0,5,2010,WD,Normal,25,0.0,810000.0,810000,810000,1,25,0,4.0,331776.0,54756.0,125,0.0,729000000.0,729000000,729000000,1,125,0,8.0,191102976.0,12812904.0,2.23606797749979,0.0,30.0,30.0,30.0,1.0,2.23606797749979,0.0,1.4142135623730951,24.0,15.297058540778355
20,RL,98.0,11478,Pave,NA,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218.0,Unf,0.0,486.0,1704.0,GasA,Ex,Y,SBrkr,1704,0,0,1704,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3.0,772.0,TA,TA,Y,0,50,0,0,0,0,NA,NA,NA,0,5,2010,WD,Normal,64,40000.0,2903616.0,2903616,2903616,4,49,1,9.0,595984.0,1483524.0,512,8000000.0,4947761664.0,4947761664,4947761664,8,343,1,27.0,460099648.0,1806932232.0,2.8284271247461903,14.142135623730951,41.27953488110059,41.27953488110059,41.27953488110059,1.4142135623730951,2.6457513110645907,1.0,1.7320508075688772,27.784887978899608,34.899856733230294
